Ensembl_ID,Gene_symbol,Log_FoldChange,logCPM,PValue,FDR_adjusted_P.value,Power,BCOV
ENSG00000170502,NUDT9,0.209,6.193,0.473492805,0.71994478,0.519,0.459
ENSG00000174165,ZDHHC24,0.209,4.888,0.473640305,0.720110765,0.475,0.466
ENSG00000062096,ARSF,0.643,1.152,0.473683785,0.720136227,0.583,1.167
ENSG00000230475,ABHD16A,0.529,1.262,0.473723995,0.72015308,0.517,1.012
ENSG00000255082,GRM5-AS1,-0.574,1.99,0.473748338,0.72015308,0.21,2.209
ENSG00000272602,ZNF595,0.28,4.146,0.473802913,0.720195399,0.51,0.595
ENSG00000115866,DARS,0.272,4.374,0.473836157,0.720205293,0.496,0.595
ENSG00000155792,DEPTOR,-0.33,3.012,0.473893334,0.720251559,0.31,0.963
ENSG00000137124,ALDH1B1,0.3,3.652,0.47392355,0.720256846,0.488,0.648
ENSG00000206047,DEFA1,1.699,-0.709,0.473953075,0.720261082,0.845,2.259
ENSG00000278175,GLIDR,0.663,2.094,0.474015067,0.720274022,0.626,1.229
ENSG00000115268,RPS15,-0.258,6.401,0.474008063,0.720274022,0.358,0.727
ENSG00000252542,SNORD36C,2.007,-1.517,0.474235177,0.720349047,0.932,2.029
ENSG00000281541,SNORD36C,2.007,-1.517,0.474225582,0.720349047,0.932,2.029
ENSG00000276733,MIR7158,2.218,-1.474,0.474278369,0.720349047,0.934,2.38
ENSG00000254997,KRTAP5-9,-0.57,-0.054,0.474161623,0.720349047,0.227,1.882
ENSG00000129028,THAP10,0.548,1.404,0.474263515,0.720349047,0.524,1.068
ENSG00000161649,CD300LG,-0.434,2.489,0.474253643,0.720349047,0.277,1.378
ENSG00000184368,MAP7D2,-0.368,4.231,0.47410949,0.720349047,0.31,1.12
ENSG00000082213,C5orf22,0.255,5.05,0.474265343,0.720349047,0.514,0.554
ENSG00000179142,CYP11B2,1.685,-0.36,0.474402323,0.72049669,0.825,2.392
ENSG00000228775,WEE2-AS1,-0.321,1.301,0.474606292,0.720562718,0.257,0.917
ENSG00000261994,WEE2-AS1,-0.321,1.301,0.474586843,0.720562718,0.257,0.916
ENSG00000101811,CSTF2,0.417,2.984,0.474565529,0.720562718,0.537,0.852
ENSG00000009694,TENM1,-0.388,4.554,0.474533298,0.720562718,0.304,1.201
ENSG00000105607,GCDH,0.29,5.108,0.474572071,0.720562718,0.541,0.616
ENSG00000157106,SMG1,-0.134,8.722,0.474478694,0.720562718,0.401,0.353
ENSG00000258803,LOC101927690,-0.299,2.743,0.474648358,0.720585972,0.295,0.875
ENSG00000134987,WDR36,-0.229,4.569,0.474866824,0.720877008,0.35,0.629
ENSG00000274454,SLC22A18AS,1.162,-0.777,0.474919274,0.720894203,0.683,1.729
ENSG00000110442,COMMD9,0.272,4.541,0.474931674,0.720894203,0.511,0.586
ENSG00000206680,SNORD21,2.274,-1.464,0.474990585,0.720939335,0.932,2.493
ENSG00000103510,KAT8,-0.184,4.48,0.475017889,0.720939335,0.346,0.491
ENSG00000181904,C5orf24,0.311,5.508,0.475041696,0.720939335,0.542,0.668
ENSG00000221837,KRTAP10-9,-0.511,0.968,0.475089007,0.720970519,0.226,1.785
ENSG00000213281,NRAS,0.303,4.855,0.475175517,0.72106118,0.525,0.655
ENSG00000182783,OR2T29,-0.576,-1.005,0.47543143,0.721170894,0.168,2.206
ENSG00000227007,LINC01247,0.42,2.182,0.475365055,0.721170894,0.492,0.864
ENSG00000282084,UBE2Q2P2,0.364,2.989,0.47544225,0.721170894,0.504,0.761
ENSG00000007080,CCDC124,0.249,4.094,0.475346578,0.721170894,0.482,0.539
ENSG00000140470,ADAMTS17,-0.356,4.365,0.475449514,0.721170894,0.316,1.071
ENSG00000130764,LRRC47,0.291,4.93,0.475337456,0.721170894,0.518,0.634
ENSG00000163166,IWS1,0.241,5.51,0.475474949,0.721170894,0.511,0.531
ENSG00000121390,PSPC1,0.29,5.772,0.475488761,0.721170894,0.537,0.628
ENSG00000175029,CTBP2,-0.317,7.114,0.47544507,0.721170894,0.335,0.936
ENSG00000189043,NDUFA4,0.305,4.095,0.475557258,0.721193572,0.506,0.659
ENSG00000275594,ADAM32,0.405,6.149,0.475552243,0.721193572,0.583,0.84
ENSG00000248964,LOC101929470,-0.467,0.832,0.475678536,0.721323509,0.228,1.58
ENSG00000134569,LRP4,0.586,6.439,0.475696494,0.721323509,0.637,1.147
ENSG00000199785,SNORA52,0.887,0.228,0.475750077,0.721337443,0.641,1.471
ENSG00000113600,C9,-0.55,0.863,0.475805957,0.721337443,0.212,2.021
ENSG00000171401,KRT13,1.039,0.998,0.47585872,0.721337443,0.705,1.753
ENSG00000260325,HSPB9,0.539,1.32,0.475866349,0.721337443,0.531,1.023
ENSG00000100554,ATP6V1D,0.286,4.413,0.475802059,0.721337443,0.525,0.605
ENSG00000179981,TSHZ1,0.312,5.807,0.475855414,0.721337443,0.542,0.673
ENSG00000256560,LINC01486,0.89,0.682,0.475978445,0.721466765,0.639,1.558
ENSG00000115137,DNAJC27,-0.25,3.719,0.476172418,0.721679566,0.329,0.696
ENSG00000129473,BCL2L2,0.21,5.618,0.476146549,0.721679566,0.491,0.472
ENSG00000212807,OR2A42,-0.43,1.032,0.476307894,0.721681875,0.248,1.36
ENSG00000230215,LINC01840,0.592,1.759,0.476238664,0.721681875,0.555,1.161
ENSG00000273592,MBOAT7,0.497,3.104,0.476206545,0.721681875,0.564,1.009
ENSG00000136002,ARHGEF4,0.319,4.786,0.47630319,0.721681875,0.529,0.688
ENSG00000115053,NCL,0.328,8.417,0.476295762,0.721681875,0.559,0.705
ENSG00000170260,ZNF212,0.354,3.626,0.476362471,0.721723973,0.549,0.718
ENSG00000102794,ACOD1,1.29,-0.422,0.476428898,0.721743957,0.711,2.022
ENSG00000146833,TRIM4,-0.162,5.474,0.476429247,0.721743957,0.353,0.441
ENSG00000204421,LY6G6C,-0.498,-0.853,0.476660197,0.721759325,0.212,1.416
ENSG00000236183,LY6G6C,-0.503,-0.853,0.476674611,0.721759325,0.215,1.417
ENSG00000228859,LY6G6C,-0.498,-0.853,0.476662503,0.721759325,0.212,1.416
ENSG00000235452,LY6G6C,-0.503,-0.853,0.476680531,0.721759325,0.215,1.417
ENSG00000254415,SIGLEC14,-0.435,1.547,0.476594379,0.721759325,0.25,1.423
ENSG00000232046,LINC01798,0.477,2.007,0.476541571,0.721759325,0.534,0.936
ENSG00000116874,WARS2,0.277,3.514,0.47654633,0.721759325,0.457,0.612
ENSG00000066382,MPPED2,0.5,4.388,0.476589985,0.721759325,0.605,0.997
ENSG00000173889,PHC3,-0.2,7.71,0.47661124,0.721759325,0.377,0.547
ENSG00000131808,FSHB,1.401,-0.545,0.476871934,0.721794621,0.781,1.991
ENSG00000232480,TGFB2-AS1,-0.512,0.25,0.47693749,0.721794621,0.227,1.69
ENSG00000256660,CLEC12B,-0.523,1.067,0.476934827,0.721794621,0.223,1.862
ENSG00000129910,CDH15,0.58,1.506,0.476765642,0.721794621,0.562,1.095
ENSG00000109684,CLNK,0.458,3.041,0.476819883,0.721794621,0.565,0.917
ENSG00000155380,SLC16A1,0.325,3.378,0.476889778,0.721794621,0.483,0.705
ENSG00000281917,SLC16A1,0.325,3.378,0.476897114,0.721794621,0.483,0.705
ENSG00000254004,ZNF260,0.376,5.348,0.476747299,0.721794621,0.568,0.786
ENSG00000139496,NUP58,0.253,6.068,0.476944994,0.721794621,0.518,0.56
ENSG00000149635,OCSTAMP,1.363,-0.594,0.477153599,0.722069751,0.697,2.179
ENSG00000266321,MIR4293,2.333,-1.465,0.477263415,0.722114237,0.924,2.645
ENSG00000231383,FGF12-AS1,-0.352,1.555,0.477253085,0.722114237,0.249,1.104
ENSG00000064545,TMEM161A,0.366,3.873,0.47724925,0.722114237,0.54,0.763
ENSG00000255009,UBTFL1,1.813,-0.462,0.47729839,0.722126596,0.905,2.23
ENSG00000280789,PAGR1,0.311,4.311,0.477364243,0.722185667,0.518,0.668
ENSG00000138675,FGF5,0.492,4.042,0.477409042,0.722212882,0.602,0.977
ENSG00000266835,GAPLINC,0.303,4.479,0.477471648,0.722267028,0.539,0.635
ENSG00000147614,ATP6V0D2,0.377,2.97,0.477601949,0.722423567,0.511,0.784
ENSG00000199177,MIR31,2.349,-1.452,0.477655053,0.722463325,0.928,2.647
ENSG00000165078,CPA6,1.275,-0.018,0.477776641,0.722483785,0.74,1.985
ENSG00000167476,JSRP1,0.788,1.108,0.47772618,0.722483785,0.613,1.442
ENSG00000204389,HSPA1A,-0.625,2.345,0.477788232,0.722483785,0.169,2.804
ENSG00000151729,SLC25A4,-0.262,3.975,0.477810228,0.722483785,0.33,0.742
ENSG00000134882,UBAC2,0.206,5.025,0.477829501,0.722483785,0.468,0.466
ENSG00000141376,BCAS3,-0.149,6.523,0.477731939,0.722483785,0.38,0.396
ENSG00000253686,LINC01484,-0.258,4.574,0.477937693,0.722606813,0.335,0.737
ENSG00000179452,LINC01699,2.436,-1.425,0.478247055,0.722706028,0.935,2.733
ENSG00000197273,GUCA2A,-0.641,-1.075,0.478272566,0.722706028,0.151,2.79
ENSG00000174948,GPR149,1.087,0.593,0.478165767,0.722706028,0.692,1.836
ENSG00000163810,TGM4,1.362,0.974,0.478266827,0.722706028,0.78,2.152
ENSG00000281886,TGM4,1.362,0.974,0.478259589,0.722706028,0.78,2.152
ENSG00000171159,C9orf16,0.356,3.614,0.478158443,0.722706028,0.515,0.758
ENSG00000159199,ATP5G1,0.353,3.757,0.478078771,0.722706028,0.514,0.756
ENSG00000183828,NUDT14,0.354,4.022,0.478172677,0.722706028,0.537,0.744
ENSG00000184887,BTBD6,-0.218,4.533,0.478298428,0.722706028,0.348,0.596
ENSG00000116459,ATP5F1,0.314,4.532,0.478277054,0.722706028,0.522,0.677
ENSG00000143549,TPM3,-0.18,6.884,0.478126939,0.722706028,0.375,0.49
ENSG00000025796,SEC63,0.272,6.625,0.478371019,0.722775171,0.534,0.596
ENSG00000006757,PNPLA4,0.225,4.682,0.478434754,0.722830926,0.495,0.486
ENSG00000275564,FCAR,-0.572,-0.467,0.478541191,0.722858227,0.2,2.008
ENSG00000007306,CEACAM7,1.344,1.076,0.478560161,0.722858227,0.78,2.127
ENSG00000165837,ERICH6B,-0.417,2.204,0.478516476,0.722858227,0.264,1.349
ENSG00000276130,SLC22A18,-0.312,2.325,0.478551642,0.722858227,0.284,0.917
ENSG00000176974,SHMT1,0.284,5.004,0.478591904,0.722865641,0.522,0.616
ENSG00000177854,TMEM187,0.66,1.376,0.478671332,0.72288171,0.583,1.236
ENSG00000261390,MAFTRR,0.51,3.109,0.478753259,0.72288171,0.579,1.018
ENSG00000165533,TTC8,-0.192,4.094,0.478723331,0.72288171,0.335,0.515
ENSG00000105821,DNAJC2,0.251,5.231,0.478687419,0.72288171,0.511,0.55
ENSG00000130255,RPL36,0.352,5.939,0.478671058,0.72288171,0.554,0.752
ENSG00000204628,RACK1,-0.233,7.821,0.478763553,0.72288171,0.361,0.657
ENSG00000230389,HCP5,1.927,1.292,0.478790718,0.722882208,0.888,2.684
ENSG00000250673,LOC345051,-0.396,1.629,0.478927848,0.722927176,0.26,1.244
ENSG00000242048,LOC644090,0.538,2.253,0.478903526,0.722927176,0.552,1.076
ENSG00000180818,HOXC10,1.174,3.455,0.478874737,0.722927176,0.77,1.953
